Intensity Level,Direction,Ground Motion ID,RD
DBEB,X,1,1E-10
DBEB,X,2,1E-10
DBEB,X,3,1E-10
DBEB,X,4,1E-10
DBEB,X,5,1E-10
DBEB,X,6,0.00027431
DBEB,X,7,1E-10
DBEB,X,8,1E-10
DBEB,X,9,0.000106398
DBEB,X,10,1E-10
DBEB,X,11,7.96E-05
DBEB,Y,1,1E-10
DBEB,Y,2,1E-10
DBEB,Y,3,1E-10
DBEB,Y,4,1E-10
DBEB,Y,5,1E-10
DBEB,Y,6,1E-10
DBEB,Y,7,1E-10
DBEB,Y,8,1E-10
DBEB,Y,9,1E-10
DBEB,Y,10,1E-10
DBEB,Y,11,1E-10
MCEB,X,1,5.42E-05
MCEB,X,2,1E-10
MCEB,X,3,0.000399748
MCEB,X,4,1E-10
MCEB,X,5,0.00039175
MCEB,X,6,0.001341987
MCEB,X,7,1E-10
MCEB,X,8,0.00021329
MCEB,X,9,0.000776603
MCEB,X,10,0.000170861
MCEB,X,11,0.000600066
MCEB,Y,1,1E-10
MCEB,Y,2,8.23E-05
MCEB,Y,3,0.00049598
MCEB,Y,4,0.000250973
MCEB,Y,5,0.00056671
MCEB,Y,6,1E-10
MCEB,Y,7,0.000278557
MCEB,Y,8,0.00010319
MCEB,Y,9,1E-10
MCEB,Y,10,0.000179717
MCEB,Y,11,1E-10
DBED,X,1,0.001696858
DBED,X,2,0.000935373
DBED,X,3,0.000948956
DBED,X,4,0.000547333
DBED,X,5,0.002636411
DBED,X,6,6.13E-05
DBED,X,7,0.00060193
DBED,X,8,0.000349434
DBED,X,9,0.000509868
DBED,X,10,0.001413218
DBED,X,11,0.001190165
DBED,Y,1,0.001177061
DBED,Y,2,0.000695705
DBED,Y,3,0.001027146
DBED,Y,4,0.000979593
DBED,Y,5,0.001605108
DBED,Y,6,0.001315582
DBED,Y,7,8.83E-05
DBED,Y,8,0.001028396
DBED,Y,9,0.000925594
DBED,Y,10,0.001052076
DBED,Y,11,1E-10
MCED,X,1,0.002721806
MCED,X,2,0.00183014
MCED,X,3,0.002309471
MCED,X,4,0.002067641
MCED,X,5,0.007513913
MCED,X,6,0.000507908
MCED,X,7,0.001956837
MCED,X,8,0.001269096
MCED,X,9,0.001348541
MCED,X,10,0.002866571
MCED,X,11,0.002488732
MCED,Y,1,0.001580875
MCED,Y,2,0.002553704
MCED,Y,3,0.00220063
MCED,Y,4,0.001370789
MCED,Y,5,0.007444946
MCED,Y,6,0.002316735
MCED,Y,7,0.000840598
MCED,Y,8,0.002619224
MCED,Y,9,0.00215249
MCED,Y,10,0.002839779
MCED,Y,11,0.000640275
